,Quote,Author
5047,Even people that I agree with can do something that would be a target for a bit of humor,Jonathan Shapiro
5048,Great art picks up where nature ends,Marc Chagall
5049,How far have you walked for men who’ve never held your feet in their laps?,Warsan Shire
5050,"Man jadda wajadaSiapa yang bersungguh - sungguh, akan berhasil",Ahmad Fuadi
5051,"In the end, everything is a gag",Charlie Chaplin
5052,I was raised right — I talk about people behind their backs. It's called manners,Kathy Griffin
5053,He must be very ignorant for he answers every question he is asked,Voltaire
5054,Do not look for happiness outside yourself. The awakened seek happiness inside,Peter Deunov
5055,"time made me stronger, you're no longer on my mind",Boyz II Men
5056,There's nothing to writing. All you do is sit down at a typewriter and open a vein,Ernest Hemingway
5057,Sometimes God allows what he hates to accomplish what he loves,Max Lucado
5058,"The question is not how to get cured, but how to live",Joseph Conrad
5059,Fiction reveals truth that reality obscures,Ralph Waldo Emerson
5060,I'm living a dream I never want to wake up from,Cristiano Ronaldo
5061,You will never glory in God till first of all God has killed your glorying in yourself,Charles Haddon Spurgeon
5062,Faith is not so much something we believe; faith is something we live,Joseph B. Wirthlin
5063,The only sin is the sin of being born,Samuel Beckett
5064,"I am yours,""he whispered. ""I live to hold you, Risa. I breathe to touch you",Lora Leigh
5065,"You can never, never have too many books",Drew Barrymore
5066,All our knowledge has its origin in our perceptions,Leonardo da Vinci
5067,A wonderful gift may not be wrapped as you expect,Jonathan Lockwood Huie
5068,Be like the flower that gives its fragrance to even the hand that crushes it,علي بن أبي طالب
5069,"In my deepest wound I saw your glory, and it dazzled me",Augustine of Hippo
5070,Your hair is still wet!,Justin Bieber
5071,"Truth is ever to be found in the simplicity, and not in the multiplicity and confusion of things",Isaac Newton
5072,A man who is intimate with God is not intimidated by man,Leonard Ravenhill
5073,I just knew there were stories I wanted to tell,Octavia E. Butler
5074,Change your thoughts and you change your world,Norman Vincent Peale
5075,A friend to all is a friend to none,Aristotle
5076,Sometimes I feel I hope I am not taking advantage of my stardom,Salman Khan
5077,Let the beauty of what you love be what you do,Rumi
5078,Painting is the passage from the chaos of the emotions to the order of the possible,Balthus
5079,The map is not the territory,Alfred Korzybski
5080,This poetry. I never know what I'm going to say,Rumi
5081,Sex is like air; it's not important unless you aren't getting any,John Callahan
5082,"Were knowledge all, what were our needTo thrill and faint and sweetly bleed?",Christopher Brennan
5083,"I think of life as a good book. The further you get into it, the more it begins to make sense",Harold S. Kushner
5084,"It is the Holy Spirit's job to convict, God's job to judge and my job to love",Billy Graham
5085,"No one knows anything, really. It's all rented, or borrowed",Ian McEwan
5086,in a worldfull oftemporary thingsyou area perpetual feeling,Sanober Khan
5087,This is the strangest life I have ever known,Jim Morrison
5088,Language is the key to the heart of people,Ahmed Deedat
5089,Do you not then hear this horrible scream all around you that people usually call silence,Werner Herzog
5090,You can't go home again,Thomas Wolfe
5091,It usually takes me two or three days to prepare an impromptu speech,Mark Twain
5092,Shin: a device for finding furniture in the dark,Steven Wright
5093,"I've got to start listening to those quiet, nagging doubts",Bill Watterson
5094,"Elaine: Ugh, I hate people.Jerry: Yeah, they're the worst",Jerry Seinfeld
5095,Writing is both mask and unveiling,E.B. White
5096,Writers will happen in the best of families,Rita Mae Brown
5097,"There is nothing more awful, insulting, and depressing than banality",Anton Chekhov
5098,"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship",Buddha
5099,"Success is fickle, but creativity is a gift",Tommy Shaw
5100,Friends and good manners will carry you where money won't go,Margaret Walker
5101,What I didn't know was I was deeply attracted to the big space,David Hockney
5102,"Oh sorry, I was taking life seriously",Bill Hicks
5103,"When nothing is sure, everything is possible",Margaret Drabble
5104,It's faith in something and enthusiasm for something that makes a life worth living,Oliver Wendell Holmes Sr.
5105,There is something incredibly nostalgic and significant about the annual cascade of autumn leaves,Joe L. Wheeler
5106,Truth builds trust,Marilyn Suttle
5107,Life is a sexually transmitted disease and the mortality rate is one hundred percent,R.D. Laing
5108,The only person who is educated is the one who has learned how to learn and change,Carl R. Rogers
5109,I do not like to repeat successes I like to go on to other things,Walt Disney Company
5110,Some beautiful paths can't be discovered without getting lost,Erol Ozan
5111,The whole house seemed to exhale a melancholy breath of emptiness,Michael Chabon
5112,Always choose the future over the past. What do we do now?,Brian Tracy
5113,"Feel your emotions,Live true your passions,Keep still your mind",Geoffrey M. Gluckman
5114,"Anything that makes weak - physically, intellectually and spiritually, reject it as poison",Swami Vivekananda
5115,Forgive me for being so ordinary while claiming to know so extraordinary a God,Jim Elliot
5116,"It does not matter how long you live, but how well you do it",Martin Luther King Jr.
5117,Life consists of what man is thinking about all day,Ralph Waldo Emerson
5118,"Now stand in the corner, and think about what you've done!",Taylor Swift
5119,Pressure makes diamonds,George S. Patton Jr.
5120,Time ripens all things; no man is born wise,Miguel de Cervantes Saavedra
5121,Faith in God includes Faith in God's timing,Neal A. Maxwell
5122,You can't edit a blank page,Nora Roberts
5123,Never judge a work of art by its defects,Washington Allston
5124,"Get it down. Take chances. It may be bad, but it's the only way you can do anything good",William Faulkner
5125,"There is one who remembers the way to your door: Life you may evade, but Death you shall not",T.S. Eliot
5126,"When I try, I fail. When I trust, He succeeds",Corrie ten Boom
5127,"Rule number 2 - don't listen to me!""Arriane laughed, ""I'm certifiably insane!",Lauren Kate
5128,One of the deepest longings of the human soul is to be seen,John O'Donohue
5129,The language of friendship is not words but meanings,Henry David Thoreau
5130,Love changes things; hope allows us to endure until the change arrives,Iimani David
5131,Life is something that happens when you can't get to sleep,Fran Lebowitz
5132,The purpose of literature is to turn blood into ink,T.S. Eliot
5133,"If they give you ruled paper, write the other way",Juan Ramón Jiménez
5134,Obstacles are those frightening things you see when you take you eyes off your goal,Henry James
5135,"Eagles may soar, but weasels don't get sucked into jet engines",Steven Wright
5136,"Intellect is a part of a good faith. Intellect is the light, the heart is the direction",Tariq Ramadan
5137,Writing is the geometry of the soul,Plato
5138,Risk comes from not knowing what you're doing,Warren Buffett
5139,To succeed in the world it is not enough to be stupid - one must also be polite,Voltaire
5140,If life is a journey then let my soul travel and share your pain,Santosh Kalwar
5141,HOBBES:If you don't get a goodnight kiss you get Kafka dreams,Bill Watterson
5142,Don't let what you cannot do interfere with what you can do,John Wooden
5143,Only when I fall do I get up again,Vincent van Gogh
5144,"You say freak, I say unique",Christian Baloga
5145,"I am human and I need to be loved,just like everybody else does",Morrissey
5146,No one asked you to be happy. Get to work,Colette
5147,Reality provides us with facts so romantic that imagination itself could add nothing to them,Jules Verne
5148,Sentiment without action is the ruin of the soul,Edward Abbey
5149,Life is a paradise for those who love many things with a passion,Leo Buscaglia
5150,"Things will get easier, people's minds will change, and you should be alive to see it",Ellen DeGeneres
5151,There is a road from the eye to the heart that does not go through the intellect,G.K. Chesterton
5152,Loneliness and the feeling of being unwanted is the most terrible poverty,Mother Teresa
5153,"To accomplish great things, we must dream as well as act",Anatole France
5154,"If your life is worth thinking about,it is worth writing about",Robin S. Sharma
5155,Every poem should remind the reader that they are going to die,Edgar Allan Poe
5156,"Existence is a series of footnotes to a vast, obscure, unfinished masterpiece",Vladimir Nabokov
5157,"I am a religious person, although I am not a believer",Philip Pullman
5158,"The imagination needs moodling,--long, inefficient happy idling, dawdling and puttering",Brenda Ueland
5159,"Common sense is in spite of, not the result of, education",Victor Hugo
5160,الأمر الوحيد الذي أندم عليه هو أنه لن يتسنى لي قراءة كل الكتب التي أود قرائتها,فرانسواز ساجان
5161,Books are the most tolerant of friends,Richard Paul Evans
5162,"Or, rather, let us be more simple and less vain",Jean-Jacques Rousseau
5163,"The longer we live, the more weight we carry in our hearts",Ai Yazawa
5164,"If you would create something,you must be something",Johann Wolfgang von Goethe
5165,Don't run I never liked fast food,Rachel Caine
5166,"I became aware that the invincible power that has moved the world is unrequited, not happy, love",Gabriel Garcí­a Márquez
5167,Know what you are talking about,Pope John Paul II
5168,Life is a book waiting to happen,Sloan McBride
5169,Fashion is a language that creates itself in clothes to interpret reality,Karl Lagerfeld
5170,The desire to write grows with writing,Desiderius Erasmus
5171,Paying alimony is like feeding hay to a dead horse,Groucho Marx
5172,The purpose of education is not to validate ignorance but to overcome it,Lawrence M. Krauss
5173,I think a good book is a good book forever.I don't think they get less good because times change,Megan Whalen Turner
5174,There is no such thing as work-life balance. Everything worth fighting for unbalances your life,Alain de Botton
5175,"Scars show us where we have been, they do not dictate where we are going",David Rossi
5176,I can't understand why people are frightened of new ideas. I'm frightened of the old ones,John Cage
5177,A tamed woman will never leave her mark in the world,Robert M. Drake
5178,My sun sets to rise again,Robert Browning
5179,"I criticize by creation, not by finding fault",Marcus Tullius Cicero
5180,"Do the best you can, and don't take life too serious",Will Rogers
5181,"They say all marriages are made in heaven, but so are thunder and lightning",Clint Eastwood
5182,Faith and Reason are like two wings of the human spirit by which is soars to the truth,Pope John Paul II
5183,"I act as the tongue of you,... tied in your mouth . . . . in mine it begins to be loosened",Walt Whitman
5184,She writes things with her movements that I for the life of me could never write with a pen,Christopher Poindexter
5185,"If God created us in his own image, we have more than reciprocated.""(Notebooks)",Voltaire
5186,Learning without thought is labor lost; thought without learning is perilous,Confucius
5187,Make your work to be in keeping with your purpose,Leonardo da Vinci
5188,The only guarantee for failure is to stop trying,John C. Maxwell
5189,We are all star stuff,Carl Sagan
5190,"Life is like a play: it's not the length, but the excellence of the acting that matters",Seneca
5191,"Distance sometimes lets you know who is worth keeping, and who is worth letting go",Lana Del Rey
5192,Idealisme adalah kemewahan terakhir yang hanya dimiliki oleh pemuda,Tan Malaka
5193,Only he who attempts the absurd is capable of achieving the impossible,Miguel de Unamuno
5194,What a wonderful life I’ve had! I only wish I’d realized it sooner,Colette
5195,In this country we have no place for hyphenated Americans,Theodore Roosevelt
5196,"Some pains are physical, and some pains are mental, but the one that's both is dental",Ogden Nash
5197,There is nothing more important than your eternal salvation,Kirk Cameron
5198,"I was happy in the haze of a drunken hour, but heaven knows I'm miserable now",Morrissey
5199,A fool's paradise is a wise man's hell,Thomas Fuller
5200,Love is the energy of life,Robert Browning
5201,I don't want to be in love but you're makin' me,Jonny Lang
5202,"Though sorrow may impede my heart,It is of great love to have known you",C. Elizabeth
5203,It is during our darkest moments that we must focus to see the light,Aristotle Onassis
5204,"Life is not over because you have diabetes. Make the most of what you have, be grateful",Dale Evans
5205,"Fine art is that in which the hand, the head, and the heart of man go together",John Ruskin
5206,If you own this story you get to write the ending,Brené Brown
5207,"If we're not supposed to eat animals, how come they're made out of meat?",Tom Snyder
5208,The sun always shines above the clouds,Paul F. Davis
5209,"When one realises one is asleep, at that moment one is already half-awake",P.D. Ouspensky
5210,A poet's autobiography is his poetry. Anything else is just a footnote,Yevgeny Yevtushenko
5211,"You willed yourself to where you are today, so will yourself out of it",Stephen Richards
5212,Thoughts Become Things... Choose The Good Ones!,Mike Dooley
5213,May all that have life be delivered from suffering,Gautama Buddha
5214,I'd rather die while I'm living than live while I'm dead,Jimmy Buffett
5215,A successful marriage requires falling in love many times -- always with the same person,Mignon McLaughlin
5216,I hate girls that giggle all the time... You hate any girl that David looks at,Audrey Hepburn
5217,"It's okay to be a loser, it just depends on how good you are at being one",Billie Joe Armstrong
5218,Don't worry about being effective. Just concentrate on being faithful to the truth,Dorothy Day
5219,What happens if you get scared half to death twice?,Steven Wright
5220,An eye for an eye my friend,Tsugumi Ohba
5221,Everyone dies. It is how one lives that matters,R.A. Salvatore
5222,Better a good journalist than a poor assassin,Jean-Paul Sartre
5223,"No matter how small you start, always dream big",Stephen Richards
5224,"Here is a test to find out whether your mission in life is complete. If you’re alive, it isn’t",Lauren Bacall
5225,You can't shake hands with a clenched fist,Indira Gandhi
5226,I don't regret the painful times; I bare my scars as if they were medals,Paulo Coelho
5227,I don’t want anyone to hold back who they are. It’s not okay… it’s not a good thing,Connor Franta
5228,Difficulties increase the nearer we get to the goal,Johann Wolfgang von Goethe
5229,The word 'listen' contains the same letters as the word 'silent',Alfred Brendel
5230,It infuriates me to be wrong when I know I'm right,Molière
5231,One time I actually cleaned out my closet so good I ended up on the cover of Time magazine,Ellen DeGeneres
5232,Fly without wings; Dream with open eyes; See in darkness,Dejan Stojanovic
5233,I still believe that peace and plenty and happiness can be worked out some way. I am a fool,Kurt Vonnegut
5234,God always gives his best to those who leave the choice with him,Jim Elliot
5235,Friends are the best to turn to when you're having a rough day,Justin Bieber
5236,Wealth is the ability to fully experience life,Henry David Thoreau
5237,"An artist never really finishes his work, he merely abandons it",Paul Valery
5238,"Reason is, and ought only to be the slave of the passions",David Hume
5239,"They alone live, who live for others",Swami Vivekananda
5240,"Do not fear the thorns in your path, for they draw only corrupt blood",Kahlil Gibran
5241,"Dead yesterdays and unborn tomorrows, why fret about it, if today be sweet",Omar Khayyám
5242,Anything you're good at contributes to happiness,Bertrand Russell
5243,"We've got everything we need right here, and everything we need is enough",Jack Johnson
5244,Share your knowledge. It is a way to achieve immortality,Dalai Lama XIV
5245,"Failure is an event, never a person",William D. Brown
5246,"In life, more than in anything else, it isn’t easy to end up alive",Roman Payne
5247,"People are not lazy, they simply have impotent goals..that is..goals that do not inspire them",Anthony Robbins
5248,Camping is nature's way of promoting the motel business,Dave Barry
5249,All I have is all I need and all I need is all I have in this moment,Byron Katie
5250,Life is 10 percent what happens to you and ninety percent how you respond to it,Lou Holtz
5251,"A lie, sometimes, can be truer than the truth, which is why fiction gets written",Tim O'Brien
5252,"Get books, sit yourself down anywhere, and go to reading them yourself",Abraham Lincoln
5253,There are two ways of spreading light: to be the candle or the mirror that reflects it,Edith Wharton
5254,The task of art today is to bring chaos into order,Theodor Adorno
5255,This autumn-why am I growing old?bird disappearing among clouds,Matsuo Bashō
5256,Here lies one whose name was writ on water,John Keats
5257,Successful people have libraries. The rest have big screen TVs,Jim Rohn
5258,Hard work beats talent when talent fails to work hard,Kevin Durant
5259,Have love for your inner Self and everything else is done for you,Amit Ray
5260,for a woman knows the face of the man she loves like a sailor knows the open sea,Honoré de Balzac
5261,Man is a clever animal who behaves like an imbecile,Albert Schweitzer
5262,Every child comes with the message that God is not yet discouraged of man,Rabindranath Tagore
5263,"Whether we wound or are wounded, the blood that flows is red",Eiichiro Oda
5264,"I really don't know what ""I love you""means.I think it means ""Don't leave me here alone",Neil Gaiman
5265,"The Futures Bright, Wear Your Sunglasses",Ian Somerhalder
5266,"I want Jesus to come back and say 'THATS NOT WHAT I MEANT'""-",Margaret Cho
5267,The first draft is just you telling yourself the story,Terry Pratchett
5268,"Having perfected our disguise, we spend our lives searching for someone we don’t fool",Robert Brault
5269,الحياة انتظار دائم لشيء جميل ,هاني نقشبندي
5270,HOBBES:Virtue needs some cheaper thrills,Bill Watterson
5271,"True life lies in laughter, love and work",Elbert Hubbard
5272,To become vegetarian is to step into the stream which leads to nirvana,Gautama Buddha
5273,Life doesn't just happen to you; youreceive everything in your life based on what you've given,Rhonda Byrne
5274,I liked things better when I didn't understand them,Bill Watterson
5275,"Don't doubt yourself, that's what haters are for",Turcois Ominek
5276,"As long as there's life, there's hope",Tamora Pierce
5277,When relationships fail it is usually because someone chooses not to show up for the battle,Shannon L. Alder
5278,"The soul would have no rainbow, had the eyes no tears",John Vance Cheney
5279,Books don't need batteries,Nadine Gordimer
5280,The way you give your name to others is a measure of how much you like and respect yourself,Brian Tracy
5281,The beginning of wisdom is the definition of terms,Socrates
5282,Anyone who doesn't take truth seriously in small matters cannot be trusted in large ones either,Albert Einstein
5283,"Before you can successfully make friends with others, first you have to become your own friend",Stephen Richards
5284,Even in Siberia there is happiness,Anton Chekhov
5285,"May your choices reflect your hopes, not your fears",Nelson Mandela
5286,Writers write while dreamers procastinate,Besa Kosova
5287,A synonym is a word you use when you can't spell the other one,Baltasar Gracián
5288,The secret of education lies in respecting the pupil,Ralph Waldo Emerson
5289,Ask yourself: 'Do I feel the need to laminate?' Then teaching is for you,Gordon Korman
5290,Idris: Are all people like this?The Doctor: Like what?Idris: So much bigger on the inside,Neil Gaiman
5291,You must do the things you think you cannot do,Eleanor Roosevelt
5292,Your friend is your needs answered,Khalil Gibran
5293,Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching,Satchel Paige
5294,"Be in love with your life, every detail of it",Jack Kerouac
5295,In the cherry blossom's shadethere's no such thingas a stranger,Kobayashi Issa
5296,The way to screw up somebody's life is to give them what they want,Patrick Swayze
5297,The woman is the most perfect doll that i have dressed with delight and admiration,Karl Lagerfeld
5298,Christians are hard to tolerate; I don’t know how Jesus does it,Bono
5299,"A deadline is negative inspiration. Still, it's better than no inspiration at all",Rita Mae Brown
5300,"I think it is good that books still exist, but they do make me sleepy",Frank Zappa
5301,Each man should frame life so that at some future hour fact and his dreaming meet,Victor Hugo
5302,Living never wore one so much as the effort not to live,Anaïs Nin
5303,You start by writing to live. You end by writing so as not to die,Carlos Fuentes
5304,The only safe thing is to take a chance,Elaine May
5305,"Sometimes I think it is my mission to bring faith to the faithless, and doubt to the faithful",Paul Tillich
5306,"I've triedto become someone else for a while,only to discover that he, too, was me",Stephen Dunn
5307,"When darkness is at its darkest, a star shines the brightest",Louise Philippe
5308,Only the nonreader fears books,Richard Peck
5309,"Books and doors are the same thing. You open them, and you go through into another world",Jeanette Winterson
5310,"You're only young once, but you can be immature forever",Germaine Greer
5311,It takes no more time to see the good side of life than to see the bad,Jimmy Buffett
5312,"I am a fashion person, and fashion is not only about clothes -- it's about all kinds of change",Karl Lagerfeld
5313,What I stand for is what I stand on,Wendell Berry
5314,"When the world pushes you to your knees, you're in the perfect position to pray",Hazrat Ali Ibn Abu-Talib A.S
5315,To ridicule philosophy is really to philosophize,Blaise Pascal
5316,A thing worth having is a thing worth cheating for,W.C. Fields
5317,May your feet ever walk in the light of two suns... and may the moonshadow never fall on you..,Robert Fanney
5318,"You are the Truth from foot to brow. Now, what else would you like to know?",Rumi
5319,"If you are out to describe the truth, leave elegance to the tailor",Ludwig Boltzmann
5320,"Your prayer for someone may or may not change them, but it always changes YOU",Craig Groeschel
5321,They never fail who die in a great cause,George Gordon Byron
5322,Care more for a grain of faith than a ton of excitement,Charles Haddon Spurgeon
5323,"I am not an optimist, but a great believer of hope",Nelson Mandela
5324,Poets utter great and wise things which they do not themselves understand,Plato
5325,"I set out to discover the why of it, and to transform my pleasure into knowledge",Charles Baudelaire
5326,How wonderful that we have met with a paradox. Now we have some hope of making progress,Niels Bohr
5327,Of what use were the arts if they were only the reproduction and the imitation of life?,Alfred de Vigny
5328,Life always begins with one step outside of your comfort zone,Shannon L. Alder
5329,Falling in love is painful on the knees,Jon Bon Jovi
5330,"Understanding is a three edged sword: your side, their side, and the truth",J. Michael Straczynski
5331,"Where ignorance lurks, so too do the frontiers of discovery and imagination",Neil deGrasse Tyson
5332,Fear is the glue that keeps you stuck. Faith is the solvent that sets you free,Shannon L. Alder
5333,"Keep a light, hopeful heart. But ­expect the worst",Joyce Carol Oates
5334,I know many lives worth living,Mary Oliver
5335,I think it is very good when people suffer. To me that is like the kiss of Jesus,Mother Teresa
5336,A grandmother pretends she doesn't know who you are on Halloween,Erma Bombeck
5337,The road to success is dotted with many tempting parking spaces,Will Rogers
5338,We can regard our life as a uselessly disturbing episode in the blissful repose of nothingness,Arthur Schopenhauer
5339,"The main facts in human life are five: birth, food, sleep, love and death",E.M. Forster
5340,There are only a few notes. Just variations on a theme,John Lennon
5341,Our life is made by the death of others,Leonardo da Vinci
5342,I am still in the land of the dying; I shall be in the land of the living soon. (his last words),John Newton
5343,You are the only you ... You are the best you. You will always be the second best anyone else,Leo Buscaglia
5344,"Sometimes it falls upon a generation to be great, you can be that generation",Nelson Mandela
5345,We are constantly invited to be who we are,Henry David Thoreau
5346,Talking with you is sort of the conversational equivalent of an out of body experience,Bill Watterson
5347,Total paranoia is just total awareness,Charles Manson
5348,A prison becomes a home when you have the key,George Sterling
5349,"All I do is lie, and that has made me immune to compliments",David Sedaris
5350,The intention that man should be happy is not in the plan of Creation,Sigmund Freud
5351,"Humility is nothing but truth, and pride is nothing but lying",St. Vincent de Paul
5352,"Of all the ways to lose a person, death is the kindest",Ralph Waldo Emerson
5353,Prayer is the mortar that holds our house together,Mother Teresa
5354,A man is accepted into a church for what he believes and he is turned out for what he knows,Mark Twain
5355,The ink of the scholar is more holy than the blood of the martyr,Anonymous
5356,"No matter what people tell you, words and ideas can change the world",Robin Williams
5357,Challenging the meaning of life is the truest expression of the state of being human,Viktor E. Frankl
5358,"It is through art, and through art only, that we can realise our perfection",Oscar Wilde
5359,"Don't be afraid of the shadows, that only means there's a light nearby",Evanescence
5360,The point of modernity is to live a life without illusions while not becoming disillusioned,Antonio Gramsci
5361,"In all debates, let truth be thy aim, not victory, or an unjust interest",William Penn
5362,Fear not the path of Truth for the lack of People walking on it,Robert F. Kennedy
5363,There is nothing more unequal than the equal treatment of unequal people,Thomas Jefferson
5364,"We have never heard the devil's side of the story, God wrote all the book",Anatole France
5365,"Faith is, at one and the same time, absolutely necessary and altogether impossible",Stanisław Lem
5366,They will only care when you're gone,Marilyn Monroe
5367,School is the advertising agency which makes you believe that you need the society as it is,Ivan Illich
5368,Science is the process that takes us from confusion to understanding..,Brian Greene
5369,Imagine no limitations; decide what's right and desirable before you decide what's possible,Brian Tracy
5370,"If you think something is missing in your life, it is probably YOU..",Robert Holden
5371,The soul is like an uninhabited worldthat comes to life only whenGod lays His headagainst us,Thomas Aquinas
5372,"No matter how much falls on us, we keep plowing ahead. That's the only way to keep the roads clear",Greg Kincaid
5373,"I couldn't repair your brakes, so I made your horn louder",Steven Wright
5374,It is a kind of spiritual snobbery that makes people think they can be happy without money,Albert Camus
5375,Friendship is thinking of the other person first,George Alexiou
5376,The purpose of life is the expansion of happiness,Deepak Chopra
5377,The purpose of education is to replace an empty mind with an open one,Malcolm Forbes
5378,"I don't want revenge on the Taliban, I want education for sons and daughters of the Taliban",Malala Yousafzai
5379,"When you know what you want, and you want it bad enough, you'll find a way to get it",Jim Rohn
5380,"It's too late to apologize for I have already forgiven you.""-FitzChivalry Farseer",Robin Hobb
5381,"Non-judgment quiets the internal dialogue, and this opens once again the doorway to creativity",Deepak Chopra
5382,Show me that I m everywhere and get me home for tea,George Harrison
5383,All of the great empires of the future will be empires of the mind,Winston S. Churchill
5384,I shut my eyes in order to see,Paul Gauguin
5385,"Life's managed, not cured",Phillip C. McGraw
5386,Clear thinking at the wrong moment can stifle creativity,Karl Lagerfeld
5387,Joy came always after pain,Guillaume Apollinaire
5388,You and your purpose in life are the same thing. Your purpose is to be you,George Alexiou
5389,"In the land of the blind, the one-eyed man is king",Desiderius Erasmus
5390,A man is never more truthful than when he acknowledges himself a liar,Mark Twain
5391,Merciful death. How you love your precious guilt,Anne Rice
5392,"What I fear most, I think, is the death of the imagination",Sylvia Plath
5393,Don't belittle yourself. Be BIG yourself,Corita Kent
5394,Public education was not founded to give society what it wants. Quite the opposite,May Sarton
5395,But the problem is to make the soul into a monster,Arthur Rimbaud
5396,"To design the future effectively, you must first let go of your past",Charles J. Givens
5397,"Laughter is not at all a bad beginning for a friendship, and it is far the best ending for one",Oscar Wilde
5398,I wish you a tolerable Thursday. That's all any of us can hope for,April Winchell
5399,Paint the essential character of things,Camille Pissarro
5400,Excellence/Perfection is not a destination; it is a continuous journey that never ends,Brian Tracy
5401,Cats don't need to be possessed; they're evil on their own,Peter Kreeft
5402,She is delightfully chaotic; a beautiful mess. Loving her is a splendid adventure,Steve Maraboli
5403,"Books have a way of finding their way into our lives, usually, right when we need them the most",Richard P. Denney
5404,"The integrity of my sleep has been forever compromised, sir",David Foster Wallace
5405,Your success and happiness lie in you,Helen Keller
5406,"He is richest who is content with the least, for content is the wealth of nature",Socrates
5407,"the saddest thing is to bea minute to someone,when you've made them your eternity",Sanober Khan
5408,Never allow the fear of striking out keep you from playing the game!,Babe Ruth
5409,A good traveller is one who knows how to travel with the mind,Michael Bassey Johnson
5410,"The whole secret of a successful life is to find out what is one's destiny to do, and then do it",Henry Ford
5411,Some like to believe it's the book that chooses the person,Carlos Ruiz Zafón
5412,Reading made Don Quixote a gentleman. Believing what he read made him mad,George Bernard Shaw
5413,All people know the same truth. Our lives consist of how we choose to distort it,Woody Allen
5414,I am my own experiment. I am my own work of art,Madonna
5415,Each of us is a unique strand in the intricate web of life and here to make a contribution,Deepak Chopra
5416,"Life is doubt,And faith without doubt is nothing but death",Miguel de Unamuno
5417,Who knew hitting my head and passing out would be so much fun?,P.C. Cast
5418,Grandfather informs me that is not possible,Jonathan Safran Foer
5419,Happiness and confidence are the prettiest things you can wear,Taylor Swift
5420,"Thank God men cannot fly, and lay waste the sky as well as the earth",Henry David Thoreau
5421,If poetry comes not as naturally as the leaves to a tree it had better not come at all,John Keats
5422,"She, as no other ever could, reached every corner of his heart. His joy, and his salvation",J.D. Robb
5423,It's hell writing and it's hell not writing. The only tolerable state is having just written,Robert Hass
5424,Receive with simplicity everything that happens to you,Rashi
5425,"What does education often do? It makes a straight-cut ditch of a free, meandering brook",Henry David Thoreau
5426,The job of an educator is to teach students to see vitality in themselves,Joseph Campbell
5427,"Things don't matter, people do",Rosie Thomas
5428,"Life is short. Kiss slowly, laugh insanely, love truly and forgive quickly",Paulo Coelho
5429,I prefer you to make mistakes in kindness than work miracles in unkindness,Mother Teresa
5430,The future doesn't belong to the light-hearted. It belongs to the brave,Ronald Reagan
5431,"Books didn’t make me wallow in darkness, darkness made me wallow in books",Jackson Pearce
5432,"I was good and bad, but never wicked",Anne Rice
5433,An ounce of prevention is worth a pound of cure,Benjamin Franklin
5434,"He who acts, spoils; he who grasps, lets slip",Lao Tzu
5435,the worst part about being lied to is knowing you werent worth the truth,Jean-Paul Sartre
5436,"[I'm]a freak user of words, not a poet",Dylan Thomas
5437,"Born to be wild; born to be free; nobody owns you; you are, a romantic tree",Santosh Kalwar
5438,"Bite me.""-Lieutenant Eve Dallas, from any of the In Death books",J.D. Robb
5439,Never ask a question if you don’t know the answer.— Rhett,Rowena Cherry
5440,Never put off writing until you are better at it,Gary Henderson
5441,Writing is a delicious agony,Gwendolyn Brooks
5442,The Holy Land is everywhere,Black Elk
5443,"Education is a weapon, whose effect depends on who holds it in his hands and at whom it is aimed",Joseph Stalin
5444,"Sweet are the thoughts that savour of content, The quiet mind is richer than a crown..",Robert Greene
5445,Lovers of print are simply confusing the plate for the food,Douglas Adams
5446,We fall forward to succeed,Mary Kay Ash
5447,"Wishing to be friends is quick work, but friendship is a slow ripening fruit",Aristotle
5448,I know the difference between true love and the love of my fans,Gary Coleman
5449,Artists who seek perfection in everything are those who cannot attain it in anything,Gustave Flaubert
5450,"Housework won't kill you, but then again, why take the chance?",Phyllis Diller
5451,Everyones greatest fantasy is to walk away from the life (they think)you lead,Pete Wentz
5452,Do you train for passing tests or do you train for creative inquiry?,Noam Chomsky
5453,Truth is the only safe ground to stand on,Elizabeth Cady Stanton
5454,"In any relationship in which two people become one, the end result is two half people",Wayne W. Dyer
5455,I like to reinvent myself — it’s part of my job,Karl Lagerfeld
5456,A challenge only becomes an obstacle when you bow to it,Ray A. Davis
5457,"I wish I knew how to quit you, Tumblr",John Green
5458,Truth is beauty,Lisi Harrison
5459,"Ah, Nothing is too late, till the tired heart shall cease to palpitate",Henry Wadsworth Longfellow
5460,No other success can compensate for failure in the home,J. E. McCulloch
5461,"It's all bullshit, folks and it's bad for ya",George Carlin
5462,"Death twitches my ear;'Live,' he says... 'I'm coming",Virgil
5463,Interviewer: Didn't Sagan want to believe?Druyan: he didn't want to believe. he wanted to know,Ann Druyan
5464,Open your mind before your mouth,Aristophanes
5465,"No one but Night, with tears on her dark face, watches beside me in this windy place",Edna St. Vincent Millay
5466,Making a decision to write was a lot like deciding to jump into a frozen lake,Maya Angelou
5467,All water has a perfect memory and is forever trying to get back to where it was,Toni Morrison
5468,"I believe in living today. Not in yesterday, nor in tomorrow",Loretta Young
5469,I need drama in my life to keep making music,Eminem
